# publication|decision|canonical keys|reason. 두 번째 직접 추론 묶음, 외부 LLM API 미사용.
AR-012777-A1|LINK|transform-domain-convolution|IT/자원탐사: 수평 층상 속도 모델에서 이동 연산을 합성곱으로 표현해 변환 영역에서 계산. 임의 지하 구조까지 일반화하지 않는다.
AR-012791-A1|DESIGN_ONLY||손잡이의 구멍·묶음 고정 형상.
AR-012803-A4|DESIGN_ONLY||식재 공구와 토양 다짐 날개 구성.
AR-012818-A1|DESIGN_ONLY||루프 자수·절단·접착으로 인형 가발을 제작하는 순서.
AR-012919-A1|LINK|polymerization,surfactant-action|소수·친수 부분을 가진 고분자의 제조와 세정제 분산. 조성별 새 효과를 생성하지 않는다.
AR-012955-A1|LINK|mechanical-interlocking|연장봉의 나사 체결·선택 해제. 체크밸브의 형상은 별도 설계.
AR-012972-A1|DEFER||사용 직전 용액 혼합 제형. 용해 안정화의 구체 분자 기구가 없다.
AR-013007-A1|DEFER||회절로 특정 결정상을 식별했지만 상 선택·전환 과정이 없어 다형 제어로 일반화하지 않는다.
AR-013017-A1|DEFER||양이온 고분자와 핵산의 정전기 복합체는 명시. 금속 배위 착물과 구분할 고분자 전해질 복합화 후보로 보존.
AR-013025-A1|LINK|plastic-forming,mechanical-interlocking|펌프 외피를 영구 변형시켜 구속하는 체결.
AR-013041-A1|LINK|electrochemical-cell|아연–산소 전지 응용. 산소 농축기의 흡착·막 종류는 불명확해 별도 연결하지 않는다.
AR-013051-A1|LINK|solvent-extraction,crystallization|액액 분배 세척 후 냉각 결정화로 스테롤 분리.
AR-013093-A1|LINK|fluidization|기체 유동층에서 결합액을 분무하는 과립화 응용.
AR-013099-A1|DESIGN_ONLY||페달의 하향 힘을 수평 장력으로 바꾸나 구체 기구가 없어 쐐기로 단정하지 않는다.
AR-013132-A1|DEFER||항우울 용도·화학식만 있고 작용 표적이 없다.
AR-013152-A1|DEFER||N형 칼슘 채널 길항작용. 이온 채널 조절 후보로 남기고 효소 저해와 구별한다.
AR-013154-A1|DESIGN_ONLY||블리스터 돌기로 내용물을 밀어내는 구조.
AR-013157-A1|LINK|freeze-drying|냉동 후 건조하는 제형 공정. 분무 건조와 같은 메커니즘으로 합치지 않는다.
AR-013211-A1|DEFER||전극의 형상·가역 산화환원 중간체만 명시. 구체 분리·반응을 특정하기 어렵다.
AR-013254-A1|DESIGN_ONLY||IT: 게임기의 복수 화면 구성. 열거한 표시 장치의 개별 발광 원리를 사용했다고 단정하지 않는다.
AR-013257-A1|LINK|elastomer-contact-sealing|문틀 밀봉 띠의 국부 압축 성형·접촉 유지 응용.
AR-013267-A1|DESIGN_ONLY||유체 종류별 부품 선정 체계. 새 측정 원리는 없다.
AR-013270-A4|DEFER||온도계 부착 구성. 센서 방식이 불명확해 열팽창·저항 방식으로 특정하지 않는다.
AR-013275-A1|LINK|fusion-welding|빗살의 레이저 용접 응용. 주석 접합의 온도·방식은 생략돼 같은 용접 원리로 묶지 않는다.
AR-013377-A1|LINK|stimulated-emission,wave-interference|IT: 희토류 광섬유 증폭과 간섭 필터의 대역별 보상. WDM 채널 배치의 성능을 보편화하지 않는다.
AR-013406-A1|LINK|chemical-foaming,polymerization|이소시아네이트·물·폴리올의 발포·고분자 형성. 기존 폼 항목에 통합.
AR-013424-A1|DEFER||약물 독성 저감의 치료 용도. 구체 경쟁·대사 경로가 없다.
AR-013435-A1|DEFER||탈크 현탁액·증점제 배합. 사슬 얽힘·겔·항복응력 기여를 특정할 자료 부족.
AR-013448-A1|DESIGN_ONLY||코어 없는 롤의 축 장착 구멍 구조.
AR-013463-A1|DESIGN_ONLY||밸브·유로·와류실의 용해 혼합 노즐. 카오스 이류나 벤투리 구동의 증거는 없다.
AR-013492-A1|DEFER||호르몬 변형·수의학 용도. 결합 표적과 활성 조절 방식이 없다.
AR-013507-A1|DESIGN_ONLY||용접 플럭스와 세정수의 분리·순환. 분리 장치의 기구가 생략됨.
AR-013530-A1|DEFER||합금 조성과 고온 내식성 주장. 고용·석출·부동태화의 실제 기여는 불명확.
AR-013608-A1|DEFER||화학식과 제조·제형의 목표만 있으며 작용 표적이 없다.
AR-013680-A1|DESIGN_ONLY||과일 선별 카트의 하중 분리·배출 구성. 전자 센서 원리는 없다.
AR-013689-A1|LINK|pyrolysis|스팀 크래킹에 의한 올레핀 생산. 증기가 있다는 이유로 가수분해에 연결하지 않는다.
AR-013759-A1|DEFER||잘린 화학식. 약리 표적을 추정하지 않는다.
AR-013762-A1|DESIGN_ONLY||기울어진 도포구와 탄성 다공성 와이퍼의 구성.
AR-013778-A1|DEFER||열처리 표면 합금화·코크 저감. 확산·상 형성의 기여가 불충분해 별도 표면 확산 후보로 남김.
AR-013860-A1|DEFER||백신 항원 제안. 면역 실증과 구체 표적 작용 경로가 부족하다.
AR-013895-A1|DEFER||저pH 산화 염색 배합. 손상 저감·발색 성능을 범용 원리로 만들지 않는다.
AR-013900-A1|DEFER||이눌린 함유 곡물의 소화성 주장. 발효·생리 기구의 근거가 없다.
AR-013907-A1|DESIGN_ONLY||유공압 클러치의 밸브·피스톤 배치. 힘 전달의 구체 보상 모델은 불충분.
AR-013912-A2|DEFER||지방 결정형·백색도 주장. 산란과 조직 변화의 대응을 더 확인한다.
AR-013916-A4|DESIGN_ONLY||향료를 담은 섬유와 인형 외피 구성. 방출률 제어 원리는 없다.
AR-013919-A4|DESIGN_ONLY||감기는 문·보강·가이드의 형상 구성.
AR-013946-A1|DEFER||전지의 열 응답 차단 기능. 바이메탈·PTC·용융 중 작동 방식이 불명확.
AR-014014-A1|LINK|pressure-driven-flow|가압 기체로 잉크를 밀어내는 구조. 기체 생성제의 반응은 생략됨.
AR-014067-A1|DEFER||안약 배합과 효능. 분자 표적·지속 작용의 기구는 없다.
AR-014075-A1|DESIGN_ONLY||IT: RF 단말·중앙 제어의 스타 네트워크. 구체 채널·추정 알고리즘이 없다.
AR-014201-A1|DESIGN_ONLY||IT: 자석으로 광섬유 위치를 정렬하는 스위치. 로런츠 전류 구동과 강자성체 흡인력을 혼동하지 않는다.
AR-014207-A1|LINK|negative-feedback,supervised-learning|IT: 파일럿과 알려진 수열의 오차로 등화기를 적응시킨다. 특정 LMS 갱신식은 초록에 없다.
AR-014262-A1|DESIGN_ONLY||투명·불투명 패널을 겹쳐 이미지를 만드는 퍼즐. 파동 간섭과 다르다.
AR-014296-A1|DESIGN_ONLY||고기 속 재료 삽입용 관·날·슬라이더 구조.
AR-014303-A1|DEFER||붕해제 배합으로 용해 개선. 팽윤·위킹·변형 회복의 지배 기구를 확정하지 않는다.
AR-014334-A4|LINK|mechanical-interlocking|지퍼 손잡이와 봉인의 형상 맞물림.
AR-014352-A1|DEFER||살균제 병용과 상승효과 주장. 생물 표적·인과 검증이 부족하다.
AR-014363-A1|DESIGN_ONLY||센서값·기준값 비교의 실링 이상 감시. 물리 센서와 통계 검정 방식은 없다.
AR-014369-A1|LINK|mechanical-interlocking|루프·후크 체결. 고리 크기마다 새 원리를 만들지 않는다.
AR-014377-A4|LINK|fourier-conduction|연속 금속 경로를 끊고 단열재를 넣어 열교를 줄임. 진공 단열로 분류하지 않는다.
AR-014391-A1|DESIGN_ONLY||바퀴·신축 다리·좌석을 결합한 재활 보조 프레임. 구성만으로 별도 효과를 만들지 않는다.
AR-014398-A1|LINK|mechanical-interlocking|한 장의 판재를 접고 슬롯을 서로 물려 모자를 유지한다.
AR-014446-A1|DESIGN_ONLY||슬롯 공기로 액상 코팅 커튼의 흐름·두께를 조정하는 장치. 벤투리나 코안다 조건은 명시되지 않았다.
AR-014449-A1|LINK|polymerization|음이온 중합 뒤 유기주석으로 고무 사슬을 연결한다. 손실 감소 주장을 모든 고무에 일반화하지 않는다.
AR-014468-A1|DESIGN_ONLY||경사 접촉판의 회전과 슬롯 고정으로 차륜 정렬각을 맞춘다. 쐐기의 힘 증폭과 구분한다.
AR-014473-A1|LINK|distillation|공기 증류 설비와 가압 유체의 압축기·터빈을 조합한다. 팽창 터빈을 줄톰슨 교축으로 분류하지 않는다.
AR-014477-A4|LINK|venturi-entrainment,acoustic-resonator|배기 벤투리 혼합부와 체적을 조절하는 음향 챔버. 구체 치수별 소음 성능은 확정하지 않는다.
AR-014504-A1|DESIGN_ONLY||비동기 메모리 카드의 주소·데이터·제어 신호 라우팅과 무결성 확인. 오류 정정 부호나 암호 방식은 없다.
AR-014553-A1|DEFER||섬유 마감용 광유의 점도·밀도·생분해성 배합. 지배적인 윤활막 형성 기구는 확인되지 않는다.
AR-014575-A1|DESIGN_ONLY||천공된 내부 에어백으로 가스 흐름과 외피 보호를 조절한다. 에너지 소산 경로는 명확하지 않다.
AR-014597-A4|LINK|wet-scrubbing|주방 배기를 분무·필터·액적 분리부로 세정한다. 막 한외여과로 분류하지 않는다.
AR-014624-A1|LINK|mechanical-interlocking|회전 고정캡이 컨베이어 힌지봉을 잡고 모듈 안에 유지된다.
AR-014637-A1|LINK|mechanical-interlocking|주사기의 잠금·수납 기구. 기계적 체결만 연결하며 임상 안전성 검증으로 취급하지 않는다.
AR-014645-A1|DESIGN_ONLY||카드 과금·텔레비전 신호 요금코드·전화 단말 제어의 서비스 구성. 구체 암호나 오류 정정 기법은 없다.
AR-014699-A1|DEFER||아닐리드 화합물의 구조·반응식이 일부 누락됐다. 표적과 반응 기구를 단정할 수 없다.
AR-014762-A1|LINK|adsorption|항원을 알루미늄 수산화물·인산염에 별도로 흡착한 뒤 혼합한다. 흡착 응용만 연결하며 예방 효과 입증으로 취급하지 않는다.
AR-014796-A1|LINK|gelation,surfactant-action|고분자를 겔화점 아래로 냉각하며 전단을 가해 겔 입자를 만들고 계면활성제를 배합한다.
AR-014809-A1|DEFER||전압 개폐 나트륨 채널을 조절하는 다중 리간드. 이온 채널 조절 후보로 보존하며 효소 억제와 합치지 않는다.
AR-014846-A1|DEFER||살균 성분·용매·보조용매 배합과 외관 변화. 살균의 생물학적 작용 경로가 없다.
AR-014852-A1|DESIGN_ONLY||수확기 부속 장치의 작동 여부로 엔진 출력을 바꾸는 제어 규칙. 오차 피드백이나 학습 알고리즘은 없다.
AR-014924-A1|DESIGN_ONLY||팽창 튜브로 탑승자의 전진을 구속하는 구성. 배기·재료 변형 등 에너지 소산 기구는 추가 확인이 필요하다.
AR-014955-A1|LINK|sintering|다공성 필터의 소결 입자층이라는 명시적 대안을 연결한다. 다른 고분자 응고 대안을 막 상전이로 단정하지 않는다.
AR-014998-A1|DEFER||액체가 든 이중벽 의복에서 가속도에 비례한 압력을 이용한다. 정수압 보상 후보이며 부력과는 별도다.
AR-015003-A1|LINK|ultrafiltration,enzyme-catalysis,gelation|우유의 한외여과 농축과 렌넷 또는 산 생성 배양에 의한 응고. 효소 경로와 산 응고 경로를 구별한다.
AR-015037-A1|DEFER||인돌릴 유도체의 적응증을 세로토닌 재흡수 억제제가 쓰이는 질환으로 서술한다. 실제 수송체 표적 확인이 필요하다.
AR-015045-A1|LINK|enzyme-catalysis|세탁에 글루칸 전이효소를 사용한다. 전이 반응을 가수분해 반응으로 바꾸어 설명하지 않는다.
AR-015073-A1|DESIGN_ONLY||전선 심과 서로 다른 용융 특성의 실로 압출품 중립축을 조절하는 구조. 복합 배치를 별도 과학효과로 만들지 않는다.
AR-015124-A1|LINK|fusion-welding|가스 차폐 아크와 소모성 용접선을 이용한 저합금강 접합. 기재 강도 주장을 보편 성능으로 쓰지 않는다.
AR-015127-A1|DESIGN_ONLY||평활 천공 필름으로 흡수재 표면을 덮는 구성. 마찰 감소를 유체 윤활로 단정하지 않는다.
AR-015132-A1|DESIGN_ONLY||투과·흡수·차단·접착층을 조합한 겨드랑이 보호재. 구체 수송 원리가 부족하다.
AR-015170-A1|DEFER||항부정맥 화합물의 치환식이 부분적으로만 제공된다. 이온 채널이나 수용체 표적을 추정하지 않는다.
AR-015181-A1|LINK|time-division-multiplexing|상향·하향 슬롯과 예약 미니슬롯으로 무선 접속 자원을 나눈다. 확률적 접속 규칙을 CSMA나 이진 지수 백오프로 단정하지 않는다.
AR-015226-A1|LINK|enzyme-catalysis|프럭토실 전이효소로 자당에서 포도당과 폴리프럭탄을 생성한다. 일반적인 자당 가수분해와 구별한다.
AR-015281-A1|DEFER||광공동 내부 광 감쇠 시간으로 미량 기체를 검출한다. 공동 링다운 분광 후보로 남기고 단순 투과 세기 측정과 구분해 추가 검토한다.
AR-015297-A1|DESIGN_ONLY||TV 가이드 사용 기록에서 사용자 범주를 만들고 광고 대상과 대조한다. 학습 데이터나 모델 훈련은 명시되지 않았다.
AR-015303-A1|LINK|surfactant-action|비누와 비이온 계면활성제를 포함한 고지방 세정 막대. 배합만으로 새 계면 효과를 만들지 않는다.
AR-015322-A1|DEFER||유기주석에서 유기구리로 금속을 교환하는 합성. 트랜스메탈화 후보이며 단순 배위 착물 형성과 구별한다.
AR-015330-A1|LINK|mechanical-interlocking|슬라이딩 잠금봉과 스프링을 배치한 가역 잠금장치. 형상 체결의 응용으로 연결한다.
AR-015378-A1|DESIGN_ONLY||흡수·역류 억제·방수층의 겨드랑이 보호구. 모세관 반경이나 수송 메커니즘은 확인되지 않는다.
AR-015444-A1|DEFER||이미다졸리딘 치환체 목록이 부분적으로만 주어진다. 생물 표적과 작동 기구가 없다.
AR-015455-A1|LINK|surface-graft-polymerization|광개시제를 둔 고분자 표면에서 자외선으로 거대단량체를 그래프트한다. 일반 코팅과 구별한다.
AR-015470-A1|DEFER||비만·고콜레스테롤혈증에 대한 화합물 적용 주장. 표적과 인과 경로가 부족하다.
AR-015483-A1|DESIGN_ONLY||전기 유압 구동과 스프링 복귀를 결합한 고장 대응 구조. 밸브 전원 상태의 모호한 설명은 확정하지 않는다.
AR-015485-A1|DEFER||무수·소수성 제형으로 파록세틴의 수화물 전환을 억제하려는 구성. 결정 수화·수분 이동 조건을 추가 확인한다.
AR-015543-A1|DEFER||글리코겐 수용액 점안제의 배합. 표면 윤활·수분 보유의 지배 기구가 제시되지 않는다.
AR-015691-A1|LINK|wedge-mechanism,plastic-forming,mechanical-interlocking|원뿔 머리를 링 안으로 당겨 방사 방향으로 확장하고 얇은 벽에 고정한다. 힘 변환·영구 변형·맞물림을 구분해 연결한다.
AR-015697-A1|DEFER||지방산 에스터와 아스코르빈산 유도체의 화장품 배합. 피부 작용 경로가 없다.
AR-015758-A1|DEFER||식물의 헥소스 수송체 유전자 발현을 바꾸는 구성. 수송의 구동원·결합 이온·능동성은 확인되지 않는다.
AR-015783-A1|DESIGN_ONLY||회전 날개와 기울어진 회전체가 체적을 바꾸는 용적식 기계. 용적식 이송 후보로 남기며 연동 펌프와 합치지 않는다.
AR-015792-A1|LINK|cyclone-separation|목재 건조 배기에서 사이클론으로 분진을 분리한다.
AR-015862-A1|DEFER||에테르화 탄수화물의 면역 조절 주장. 대식세포 기능과 화학구조 사이의 작동 경로가 부족하다.
AR-015886-A1|DEFER||다단계 유기 합성의 중간체 구조식이 누락되고 일부 반응 설명이 불명확하다. 명칭만으로 반응 경로를 확정하지 않는다.
AR-015897-A1|DESIGN_ONLY||폐기물 수거·운송·폐공 저장·밀봉의 절차 구성. 처리 안전성이나 오염물 분해 효과의 검증은 아니다.
AR-015898-A1|LINK|time-of-flight|농업 기계가 레이저 왕복 시간과 주사각으로 작물 윤곽을 측정한다.
AR-015924-A1|DEFER||크로마토그래피를 줄이는 유기 합성 경로이나 반응 도식이 누락됐다. 일반 반응 기구를 확정할 수 없다.
AR-015928-A1|LINK|pressure-driven-flow|가압 가스를 이용해 극저온 액체를 간헐적으로 분무한다. 압력 구동만 연결하며 캐비테이션·줄톰슨 효과는 추정하지 않는다.
AR-015959-A1|DESIGN_ONLY||외부망·로컬망의 등록·프록시·서버 연결 구조. 암호 인증이나 분산 합의 알고리즘은 제시되지 않는다.
AR-015987-A1|DEFER||플레우로무틸린 유도체와 항균 용도. 초록에 없는 리보솜 결합 기구를 출처에 귀속하지 않는다.
AR-016004-A1|LINK|polymerization|다단계 유화 중합을 명시한다. 낮은 벌크 밀도만으로 발포 기구를 추정하지 않는다.
AR-016102-A1|DEFER||지방산을 포함한 비수계 구조화 세제 배합. 겔화·자기조립·입자 네트워크를 구별할 근거가 부족하다.
AR-016133-A1|LINK|biomolecular-recognition|VLA-4 결합과 백혈구 부착 억제를 명시한다. 선택적 결합에 연결하며 세포 내 신호 경로를 덧붙이지 않는다.
AR-016154-A1|LINK|negative-feedback|디지털 PLL을 이용한 ISDN 시계 동기화 응용. 일반 음의 피드백에 연결하며 위상 검출기·루프 대역의 세부 구현은 확정하지 않는다.
AR-016245-A1|LINK|distillation|폐액의 휘발 성분을 가열·증발 분리하고 잔류물을 농축한다. 가압 순환을 줄톰슨 교축으로 분류하지 않는다.
AR-016251-A1|DEFER||하이그로마이신 유도체의 화합물 목록과 치료 용도. 초록에 없는 분자 표적을 보충하지 않는다.
AR-016255-A1|DEFER||설포닐시아나미드 구조식과 번역상 불명확한 용도가 제시된다. 산업 분야와 작동 원리를 추정하지 않는다.
AR-016270-A1|DESIGN_ONLY||등받이·좌석·다리 지지부의 링크와 회전축을 결합한 이동 의자.
AR-016296-A1|DESIGN_ONLY||낙하 추·케이블·마찰 조절로 미장 도구를 상승시키는 장치. 연속 속도 제동과 진동 감쇠를 구분한다.
AR-016305-A1|DEFER||알파 페녹시 알코올과 후속 합성의 도식·중간체 정보가 부족하다.
AR-016325-A1|DESIGN_ONLY||CCD 선형 카메라로 띠의 폭·대비를 검사하는 산업 비전 구성. 구체 영상 알고리즘이나 검출소자 구조는 주어지지 않는다.
AR-016330-A1|LINK|fluidization|유동층에서 분무 결합제를 적용해 세제 입자를 처리한다. 유동화 응용으로 연결한다.
AR-016337-A1|DEFER||진통제 병용의 편두통 효능 주장. 초록에 작용 표적·상호작용 기구가 없어 별도 효과를 만들지 않는다.
AR-016352-A1|LINK|catalysis|테레프탈산 공정의 촉매 수소화를 연결한다. 배기 수소 회수의 실제 분리 방식은 없어 PSA나 막으로 단정하지 않는다.
AR-016390-A1|DEFER||전압에 따른 도파관 굴절률 변화를 이용하지만 재료와 전기광학 차수가 없다. 포켈스·커·캐리어 효과를 구분해야 한다.
AR-016396-A1|DEFER||네오스포라 세포 균질물의 백신·진단 용도. 항원 표적과 보호 기구가 부족하다.
AR-016405-A1|DESIGN_ONLY||곡면 날·지렛대·손잡이 형상의 손톱깎이. 지렛대 원리 후보로 보존하며 형상 변형마다 항목을 만들지 않는다.
AR-016431-A1|LINK|receptor-ligand-modulation|피페리딘 유도체의 OFQ 수용체 길항을 명시한다. 수용체 조절의 응용으로 연결한다.
AR-016471-A1|DESIGN_ONLY||복수 컨베이어 구동부를 토크 한계와 되돌림 각도로 순차 교정한다. 연속 오차 피드백 제어는 명시되지 않았다.
AR-016480-A1|DEFER||수용성 아졸 항진균 화합물의 구조식이 부분적으로 제시된다. 효소 표적을 화합물 계열만으로 추정하지 않는다.
AR-016485-A1|DESIGN_ONLY||가변 전송률의 최저값·변화율·관측 구간으로 고정 데이터 블록 크기를 정한다. 오류 정정 부호나 압축 기법은 아니다.
AR-016553-A1|LINK|distillation|포도 추출액을 가열·감압 증발해 물·알코올·향 성분을 분리한다. 앞선 고액 추출을 액액 분배 추출과 합치지 않는다.
AR-016557-A1|LINK|receptor-ligand-modulation|바소프레신 작용제라는 표적 작용을 명시한다. 개별 적응증의 효과를 일반화하지 않는다.
AR-016567-A1|LINK|enzyme-inhibition|역 하이드록사메이트의 기질 금속단백분해효소 억제를 명시한다.
AR-016585-A1|DEFER||공중합체 포장 필름의 조성과 봉합 구조. 중합·접합의 구체 공정이 주어지지 않는다.
AR-016586-A1|LINK|plasticization|PVC 케이블용 가소제 배합. 배합에 안티몬·아연 성분도 있어 제목의 무중금속 표현을 일반 사실로 반복하지 않는다.
AR-016597-A1|DEFER||뉴클레오시드와 인터페론의 면역 조절 병용 주장. 인과 경로와 수용체 작용을 확인할 근거가 부족하다.
AR-016625-A1|DESIGN_ONLY||종자 계량부의 삽입편으로 공기 흐름을 제품에서 비켜가게 한다. 코안다 부착 조건은 없다.
AR-016647-A1|DESIGN_ONLY||반응성 코팅 지지체를 관에 배치하는 신호 전달 부품의 제조 구성. 반응 메커니즘이 부족해 새 과학효과로 채택하지 않는다.
AR-016737-A1|LINK|hydrolysis|인다졸 유도체 합성의 후속 가수분해 단계가 명시된다. 누락된 구조에 의존하는 앞선 반응은 단정하지 않는다.
AR-016761-A1|DEFER||사료 첨가로 육류 저장성과 동물 생산성이 좋아진다는 주장. 화학·생물 작동 경로가 없다.
AR-016775-A1|DEFER||산성 가스 흡수용 알칸올아민 용액의 부식 억제 배합. 흡착·피막 반응·산화환원을 구분할 자료가 부족하다.
AR-016787-A1|DESIGN_ONLY||전극 탭 부위의 천공·활물질 제거·보강·용접 구성. 용접 방식을 확인하지 않고 용융 접합으로 지정하지 않는다.
AR-016802-A1|DESIGN_ONLY||타이머·모터·피스톤·회전 날개를 조합한 급식기. 피드백이나 학습 제어는 제시되지 않았다.
AR-016804-A1|DEFER||할로알케인·할로올레핀의 반응 비율이 제시되지만 개시 경로·반응식이 불충분하다.
AR-016860-A1|DESIGN_ONLY||바퀴와 회전축을 조합해 일반 침대 아래에 넣는 접이식 침대 구조.
AR-016942-A1|LINK|pressure-driven-flow|한 제품의 압력으로 다른 제품을 밀어 유로를 통해 배출한다. 흡인부 형상이 없어 벤투리로 분류하지 않는다.
