# publication|decision|canonical keys|reason. 대화 내 직접 추론으로 작성. 자동 추론 API 미사용.
AP-1944-A|DEFER||예방 면역의 목표는 기재하나 일반 원리의 별도 항목화에 필요한 검증·기구가 초록에 부족하다.
AP-2000001959-A0|DEFER||특정 약물의 용도 특허. 약리 작용 기구가 초록에 없다.
AP-2001002045-A0|DEFER||FKBP 억제만 기재하며 결합·효소 기능 저해 유형은 추가 확인 필요.
AP-2001002073-A0|LINK|biomolecular-recognition|항원·항체 결합에 연결. 면역 강화의 범용 실증 근거로 사용하지 않는다.
AP-2001002146-A0|DEFER||혈당·지질·혈관형성 억제 목표만 있으며 분자 기구가 없다.
AP-2001002291-A0|LINK|receptor-ligand-modulation|PPARγ 작용제에 연결. 특정 질환의 치료 효능으로 일반화하지 않는다.
AP-2001002328-A0|DEFER||반응물과 시약은 기재하나 반응식·활성화 형태 부족. 구체 커플링 기구는 원문 필요.
AP-2001002340-A0|DESIGN_ONLY||독립 영상 출력의 시스템 구성. 새로운 과학효과로 추가하지 않는다.
AP-2001002343-A0|REJECT_CLAIM||2.6 GHz 자극이 수소결합만 선택적으로 바꿔 낮은 에너지로 증류한다는 설명은 에너지수지·실증이 부족하다. 새 효과로 채택하지 않는다.
AP-2002002410-A0|LINK|archimedes-buoyancy|기체 생성 다공 구조의 부력에 해당하는 응용으로만 연결. 위 체류시간·약효는 별도 검증 대상.
AP-2002002524-A0|DEFER||목소리 템플릿의 목표 구조만 있고 합성 알고리즘·물리 기구가 불충분하다.
AP-2002002638-A0|DEFER||핵산 변형 종류와 목적은 기재하지만 유전체 변경 경로가 초록에 부족하다.
AP-2003002886-A0|DEFER||신호펩타이드 절단·발현은 기재. 숙주별 분비 경로까지 일반화할 기구·조건을 더 확인한다.
AP-2003002933-A0|DEFER||향료 조성과 모기 기피 목표만 있고 방출 속도·작용 기구가 없다.
AP-2003002949-A0|DEFER||젤 조성과 기피 용도만 있으므로 별도 휘발성 약제 효과를 생성하지 않는다.
AP-2004003028-A0|LINK|receptor-ligand-modulation|P2X7 억제 표적 명시. 질환별 항목으로 분리하지 않는다.
AP-2004003054-A0|LINK|enzyme-inhibition,receptor-ligand-modulation|PDE4 저해와 β2 수용체 작용의 조합. 병용 효능을 새 효과로 만들지 않는다.
AP-2004003165-A0|DESIGN_ONLY||모듈의 축 정렬·어깨 위치 유지 구성. 범용 모듈화 설계 사례로 남긴다.
AP-803-A|DEFER||살충제의 화학 구조·용도는 있으나 작용 표적이 없다.
AP-834-A|LINK|polymerization|고내상 에멀션의 경화·가교는 명시. 기공 형성의 제거 단계는 불명확해 별도 주형 효과는 보류.
AP-849-A|DEFER||표면 해충 처리 용도만 있으며 분자 기구가 없다.
AP-866-A|LINK|enzyme-inhibition|PARP 저해를 명시. 항암 병용의 임상 효과를 일반화하지 않는다.
AP-914-A|DEFER||항바이러스 용도만 있고 분자 표적이 없다.
AP-919-A|LINK|coordination-complexation,catalysis|질소 배위자와 금속 산화 촉매의 결합·반응. 장기 안정성은 개별 검증 대상.
AP-930-A|LINK|enzyme-inhibition|MMP 저해를 명시. 개별 유도체별로 나누지 않는다.
AP-941-A|DESIGN_ONLY||접힌 관을 펼치는 마개 구성. 저장 탄성 에너지나 구동 기구는 불충분.
AP-954-A|DEFER||항원충 활성 외 작용 표적이 없다.
AP-9901701-A0|DESIGN_ONLY||태양광 패널의 유연한 체결 구성. 상대 변위 허용만으로 특정 진동 감쇠 기구를 단정하지 않는다.
AP-9901704-A0|DESIGN_ONLY||차량 뒤판의 암·풀리·실린더 배치. 신규 원리 없이 기구 설계로 기록.
AR-008366-A1|DESIGN_ONLY||IT: PIN 비교·카드 상태 표시의 시스템 구성. 암호 알고리즘은 설명되지 않는다.
AR-008368-A1|LINK|electromagnetic-shielding|고압선 부근 전송선의 접지 금속 차폐관. 구조별 차폐 성능은 별도 검증.
AR-008405-A1|DEFER||혈구 배제막과 발색 시약층은 명시. 정확한 분리·발색 반응이 없어 특정 분광법으로 단정하지 않는다.
AR-008414-A1|DEFER||IT: 이중 대역 안테나 공진·결합 설계. 회로·도면 확인 후 공진 기구를 분류할 필요.
AR-008463-A1|DEFER||전분 함유 유화 치즈 조성만으로 고체 입자의 계면 흡착을 확정할 수 없어 피커링 유화로 연결하지 않는다.
AR-008480-A1|DESIGN_ONLY||IT: 파일럿 강도 기반 핸드오버 정책. 신규 물리 효과보다 측정값을 이용한 자원 선택 알고리즘 사례.
AR-008546-A1|DEFER||폐쇄 기포 폼의 압력 완충 구조. 기체 압축과 점탄성 손실의 기여를 구분할 자료 부족.
AR-008605-A1|DEFER||로제트형 결정 외형은 명시하나 결정 다형 전환의 증거는 아니다.
AR-008679-A1|DESIGN_ONLY||용강 유로 내화물 이음부의 충전 홈 구성. 고온 밀봉재의 구체 원리가 없다.
AR-008681-A1|DEFER||다공성 캡슐의 표면적·적재량 증가. 기공 결합이 물리 흡착인지 공유 결합인지 불명확.
AR-008707-A1|LINK|plasticization,polymerization|가소제 함유 PMMA 공중합체와 부분 가교. 저장 안정성 향상은 해당 배합의 주장으로 제한.
AR-008729-A4|LINK|pressure-driven-flow|공기 유입 통로로 용기 내부 압력 저하를 완화하는 배출 구조.
AR-008737-A1|DESIGN_ONLY||캠·힌지로 슬랫을 접는 블라인드 구성. 별도 과학효과로 추가하지 않는다.
AR-008765-A1|DEFER||에너지 사용량·체중 조절 목표만 있고 수용체나 대사 표적이 없다.
AR-008770-A1|LINK|gelation,acid-base-reaction|젤라틴의 pH 조절과 겔화. 첨가물에 따른 향상 정도는 일반화하지 않는다.
AR-008775-A1|DEFER||열·방사선·화학·압력 활성 접착을 열거한다. 각 반응과 재료의 대응을 원문에서 확인해야 한다.
AR-008793-A4|LINK|coagulation-flocculation,gravity-settling|응집·플록 형성과 층류 침전의 수처리 조합. 모듈 구성 자체는 별도 효과가 아니다.
AR-008906-A1|LINK|orthogonal-frequency-multiplexing|IT: OFDM 보호구간 경계를 지연 샘플 차이의 분산비로 검출해 FFT 창을 동기화한다. 범용 OFDM 항목의 수신 응용으로 연결.
AR-008949-A1|DEFER||IT: 발생 확률이 높은 양자화 값에 1 비트가 적은 부호를 배정한다. 가변 길이 압축·오류정정과 같지 않으며 실제 기호 비용·가역성을 원문에서 확인한다.
AR-008976-A1|DEFER||천공된 발포 포장재의 흡수 구조. 젖음성·기공 연결성이 불명확해 모세관 기구를 확정하지 않는다.
AR-009022-A4|DESIGN_ONLY||힌지·텔레스코프 구조의 사다리. 기구 조합 사례로 남긴다.
AR-009024-A1|LINK|enzyme-catalysis|세정용 펙틴 분해 효소에 연결. 초록의 효소 명칭·EC 번호가 일치하지 않아 특정 EC 번호는 채택하지 않는다.
AR-009093-A1|DEFER||분무 냉각 구조만 명시. 대류·증발·비등 중 지배 경로가 불명확.
AR-009120-A1|DEFER||윤활유 첨가제 조성만으로 마찰화학 반응막의 생성과 기여를 확정하지 않는다.
AR-009129-A1|LINK|enzyme-inhibition|아미노펩티다아제·중성 엔도펩티다아제 저해를 명시. 투여경로별 효과는 일반화하지 않는다.
AR-009145-A1|LINK|receptor-ligand-modulation|α2 아드레날린 수용체 작용제에 연결.
AR-009182-A1|LINK|elastomer-contact-sealing|탄성 캡이 케이블 외피에 밀착하는 밀봉 구조. 전기 절연 성능은 재료별 검증.
AR-009192-A1|DESIGN_ONLY||용기·관·공기구멍 배치. 내부 열차단 기구가 명확하지 않아 진공 단열로 연결하지 않는다.
AR-009248-A4|DEFER||차량 공기 유도판 형상. 유동 부착·분리·항력 기여를 도면 없이 특정하지 않는다.
AR-009320-A1|DEFER||골량 유지의 의약 용도만 있고 분자 표적이 없다.
AR-009327-A1|LINK|wetting-control,adsorption|양친매성 단백질의 흡착 구배로 젖음성을 조절. 공유결합 표면 그래프트와 구분.
AR-009341-A1|LINK|elastomer-contact-sealing,pressure-driven-flow|탄성 막의 접촉 폐쇄와 압력 용기의 유출. 밸브 형상별로 중복 생성하지 않는다.
AR-009358-A1|LINK|enzyme-inhibition|금속단백질분해효소 저해 명시.
AR-009377-A1|DEFER||복수 반응성 작용기·아민 조성. 깨진 수식으로 특정 가교 반응을 확정하지 않는다.
AR-009382-A1|LINK|enzyme-inhibition|MMP·TACE 저해에 연결. 활성 부위 금속 킬레이션까지 초록이 증명하지는 않는다.
AR-009387-A1|LINK|polymerization,fluidization|방사선 경화와 유동층 도포의 응용. UV·전자빔별 개시 반응과 성능은 별도 조건 확인.
AR-009430-A1|LINK|mechanical-interlocking|덮개·돌기·걸림턱의 형상 구속. 재밀봉 편의성은 설계 결과.
AR-009439-A1|LINK|polymerization,plasma-surface-activation|플라스마 유도 중합과 후속 표면 반응. 초록만으로 모든 코팅이 기재에 공유결합했다고 단정하지 않는다.
AR-009467-A1|LINK|mechanical-interlocking|후크와 개방 고리가 서로 걸리는 체결 원리. 생산방법별로 효과를 분할하지 않는다.
AR-009519-A1|LINK|receptor-ligand-modulation|β3 아드레날린 수용체 작용제 명시.
AR-009528-A1|LINK|viscoelastic-response|의족의 고무 완충체 응용. 동적 손실·허용 변형의 정량치는 초록에 없다.
AR-009540-A1|DEFER||보존제 배합·효능 주장만 있다. 항산화·항균·효소 저해 중 기여를 구분할 근거 부족.
AR-009593-A1|LINK|magnetophoresis|슬래그 산화 후 자성 성분의 자력 분리. 범용 산화 반응 조건이나 회수율은 새로 추정하지 않는다.
AR-009625-A1|LINK|surfactant-action|분산제로 안료 응집을 억제하는 응용. 별도 잉크 효과로 분리하지 않는다.
AR-009667-A1|DEFER||산화 염색제 조합은 명시되나 구체 발색 반응·중간체는 부족하다.
AR-009677-A1|DEFER||염색제와 산화제 조성. 앞선 염색 특허와 별개 효과를 생성하지 않는다.
AR-009698-A1|LINK|hydrolysis,polymerization|가수분해 가능한 에스터 결합의 가교 고분자. 체내 흡수 속도·안전성을 일반화하지 않는다.
AR-009728-A1|DEFER||윤활유 배합과 연비 향상 주장만 있어 유막·흡착·반응막 기여가 불명확하다.
AR-009741-A1|LINK|receptor-ligand-modulation|LTB4 수용체 길항작용 명시.
AR-009752-A1|DESIGN_ONLY||IT: 접근 권한에 따른 긴급통화 연결 정책. 특정 통신·보안 알고리즘은 불충분.
AR-009760-A1|DEFER||추출 단백질의 항레트로바이러스 용도만 있고 표적 기구가 없다.
AR-009771-A1|DESIGN_ONLY||경사진 밸브 시트로 축방향 길이를 줄인 구성.
AR-009868-A1|LINK|catalysis,distillation|촉매 반응과 생성수의 증류 제거. 실리콘 소포제는 조성만으로 막 파괴 기구를 단정하지 않는다.
AR-009902-A1|DESIGN_ONLY||호퍼·가이드·레버가 협동하는 아일릿 삽입 기구.
AR-009943-A1|LINK|catalysis,enzyme-catalysis|금속 표백 촉매와 셀룰로오스 분해 효소의 조합. 자유 라디칼 생성은 초록으로 확정하지 않는다.
AR-009980-A1|DEFER||ApoB-100 조절 대상은 명시하나 합성·분해·수송 중 경로가 불명확.
AR-010096-A1|LINK|mechanical-interlocking|탄성 걸림팔·머리·홈의 스냅 체결. 일부 문자가 깨져 있으므로 세부 치수는 인용하지 않는다.
AR-010145-A1|DESIGN_ONLY||IT 기반시설: 광섬유 카세트의 회전·적층 보관. 데이터 전송 효과를 새로 만들지 않는다.
AR-010164-A1|LINK|elastomer-contact-sealing|탄성 도어 밀봉재. 끼임 감지는 접점의 닫힘이며 재료 압저항 효과로 오분류하지 않는다.
AR-010180-A1|LINK|distributed-barrier|IT: 요청을 전파하고 하위 노드의 모든 확인 응답을 모은 뒤 단절 동작을 진행하는 장벽 동기화. 장애 허용 합의·원자적 커밋이라고 주장하지 않는다.
AR-010192-A1|LINK|wet-chemical-etching|겔에 보유한 산으로 표면 산화물을 제거하는 응용. 초록의 혼합 조리법·보편적 안전성은 채택하지 않는다.
AR-010196-A1|DEFER||제초·살충 용도와 화학 구조만 있어 생물 표적 기구가 부족하다.
AR-010226-A1|LINK|enzyme-catalysis|세정용 다당류 분해 효소 응용. 제형별로 새 효과를 만들지 않는다.
AR-010249-A1|LINK|vibration-isolation|차축과 차체 사이 탄성 결합. 기구학적 조향·행정 제한은 설계 사례로 제한.
AR-010250-A1|LINK|plasticization|단백질과 상용성 가소제의 혼합·가공. 재료별 전이온도 변화는 확인이 필요하다.
AR-010271-A1|LINK|viscous-damping,vibration-isolation|액체를 좁은 유로로 이동시키는 수력 감쇠와 탄성 지지의 조합.
AR-010273-A1|DESIGN_ONLY||티슈 접기·겹침으로 두께와 인출성을 바꾸는 구성.
AR-010294-A1|DESIGN_ONLY||골판지의 피치·높이 적층 구성. 좌굴·소성 소산의 비중을 단정하지 않는다.
AR-010316-A1|LINK|polymerization|에멀션 그래프트 중합을 통한 ABS 조성. 기재 표면의 브러시 형성과 동일하지 않다.
AR-010376-A1|DEFER||진통 용도·부분 화학식만 있고 작용 표적이 없다.
AR-010396-A1|LINK|receptor-ligand-modulation|α1 수용체 길항작용 명시.
AR-010411-A1|DEFER||수경성 슬래그·황산염 조성만 있다. 포틀랜드 시멘트와 같은 수화물 생성 경로라고 단정하지 않는다.
AR-010424-A1|DEFER||진공 중 전해 분산이라는 표현이 불명확해 스퍼터·증발·전해 도금 중 방법을 확정하지 않는다.
AR-010435-A1|DESIGN_ONLY||IT: DTMF 기반 차량 원격 제어·경보 구성. 암호 인증이나 신호 처리 원리는 초록에 없다.
AR-010438-A1|DEFER||섬유 비산 억제 코팅 배합. 연속막 형성·고착 기구를 확인할 자료 부족.
AR-010462-A2|LINK|chemical-foaming,polymerization|이소시아네이트 말단 고분자와 물 반응의 발포. 기체 생성 기구는 별도 NIST 문헌으로 보완.
AR-010467-A2|DEFER||HPPD 유전자 발현 구성. 내성의 분자·대사 경로는 추가 확인 필요.
AR-010471-A1|DEFER||자기장으로 관의 근접을 검출하나 홀·유도·자기저항 중 센서 기구가 없다.
AR-010506-A1|LINK|time-division-multiplexing|IT: TDMA 슬롯 형식과 제어 정보 반복 빈도의 조절. 슬롯별 구조 최적화는 동일 시간 분할 원리의 응용.
AR-010564-A1|DESIGN_ONLY||IT 매체 보관용 접이식 케이스. 디스크 저장 원리나 압축 기술로 분류하지 않는다.
AR-010569-A1|LINK|catalysis|백금족 촉매의 층별 배치. 제올라이트가 존재한다는 이유만으로 특정 흡착 기여를 확정하지 않는다.
AR-010629-A1|LINK|capillary-wicking|층별 모세관 압력과 투과도의 차이를 이용한 액체 이송. 제품별 수치를 범용 조건에 복사하지 않는다.
AR-010655-A1|LINK|mechanical-interlocking|철도 대차·트레일러의 삽입축과 잠금 구조. 복합 운송 시스템 자체는 별도 효과가 아니다.
AR-010683-A1|LINK|time-division-multiplexing|IT: 송수신 반비트 구간을 교대로 배정하는 시간 분할. 물리적 동시 전이중과 구분한다.
AR-010706-A1|LINK|coordination-complexation,catalysis|다가 배위자와 전이금속 표백 촉매. 수치 범위는 특정 청구 조성으로 제한.
AR-010724-A1|DEFER||온도·치수·습윤 변화의 알림 목표만 있고 각 변환 기구가 없다.
AR-010755-A1|LINK|electromagnetic-induction|IT: 코일로 변조 자기장을 수신하는 비접촉 카드. 접촉·비접촉 모드 전환은 시스템 설계.
AR-010760-A4|DESIGN_ONLY||장식 이중 마개 구성. 과학효과 추가 대상 아님.
AR-010768-A1|DEFER||반응 도식이 생략된 합성 특허. 구체 경로를 추정하지 않는다.
AR-010777-A1|LINK|viscous-damping,vibration-isolation|탄성 지지와 협착 유로의 액체 소산. AR-010271-A1과 같은 원리에 연결.
AR-010804-A1|DEFER||생균 배합과 병원체 정착 억제 목표. 경쟁·대사물·숙주 반응 중 기구가 없다.
AR-010829-A1|DESIGN_ONLY||교환 가능한 수도꼭지 손잡이와 나사 결합 구성.
AR-010833-A1|LINK|acid-base-reaction|염 형성의 응용으로 제한. 모든 약물의 염이 더 잘 녹는다는 일반 원리로 추가하지 않는다.
AR-010837-A1|DESIGN_ONLY||증기압 다이어프램으로 개방 조작을 차단하는 안전 인터록. 파단 조건은 추정하지 않는다.
AR-010884-A1|DESIGN_ONLY||펌프와 구동부의 탈착 결합. 연동 펌프라고 특정할 정보가 없다.
AR-010891-A1|DEFER||안료·수지 배합과 도포 용도만 있어 분산 안정화 기구가 불명확.
AR-010914-A1|LINK|surfactant-action|분쇄 광물을 음이온 계면활성제로 수분산하는 응용.
AR-010940-A1|LINK|pressure-driven-flow,evaporative-cooling,condensation-recovery|증발·응축으로 저장 용기의 압력과 냉매 유량을 조절. MRI 사용처만으로 NMR의 근거 문헌으로 삼지 않는다.
AR-010961-A1|LINK|mechanical-interlocking|종이 원통과 톱니형 판의 끼움 체결. 마찰과 형상 구속의 세부 기여는 별도 확인.
AR-010973-A1|DEFER||제초제 적용 방법만 있으며 작용 표적과 선택성 기구가 없다.
AR-010987-A1|LINK|enzyme-inhibition|NAALADase 저해 명시. 질환별 치료 검증을 뜻하지 않는다.
AR-010989-A1|LINK|mechanical-interlocking,plastic-forming|링 압착·너링·홈을 통한 기계적 체결. 접합 제품별로 항목을 나누지 않는다.
AR-010993-A1|DEFER||살충성 단백질 발현·용도는 있으나 표적 결합·막 손상 기구가 없다.
AR-011035-A1|DEFER||생분해성 입자의 방출 조절. 확산·가수분해·효소 분해 중 지배 기구를 초록만으로 분리하기 어렵다.
AR-011067-A1|DEFER||물·기름·친수성 콜로이드 코팅의 식감 모사. 열·수분 전달 기여의 근거 부족.
AR-011182-A1|LINK|enzyme-catalysis|P450 효소가 촉매하는 변환이라는 범용 원리에만 연결. 독성 생성물의 제조 절차는 정본에 포함하지 않는다.
AR-011193-A1|DESIGN_ONLY||흡입기 사용 횟수 표시·투명 창의 구성.
AR-011317-A4|DESIGN_ONLY||탄성 연결부가 굽히는 힌지. 음의 푸아송비·쌍안정 기구로 오분류하지 않는다.
AR-011340-A1|DEFER||신규 화합물과 제조·정제 목표만 있어 구체 변환 경로가 없다.
AR-011345-A1|LINK|fluorescence-sensing,supervised-learning|IT/식품: 형광 시계열 특징을 학습해 육질을 예측하는 신경망. 특정 학습 알고리즘은 초록에 없어 역전파 사용을 단정하지 않는다.
AR-011372-A1|LINK|elastomer-contact-sealing|유연한 맞물림 면의 동적 접촉 밀봉. 경도 수치는 해당 설계의 조건으로 제한.
AR-011379-A1|LINK|time-of-flight|같은 표면 특징이 두 검출 위치를 통과하는 시간차로 속도를 구함. 광자의 비행시간과 대상의 이동시간을 구분해야 한다.
AR-011389-A1|DEFER||충격 전달·완화 조성의 제안. 매질별 소산·파동 반사 기여를 구분할 검증 부족.
AR-011390-A1|LINK|pressure-driven-flow|펌프가 만든 압력차로 샤워 제트를 구동. 마사지 효능의 근거로 사용하지 않는다.
AR-011427-A1|DEFER||고분자 저장체·삽입 구조는 명시되나 약물 수송 기구가 불명확.
AR-011444-A1|LINK|polymerization|폴리에스터 축합·후속 가교. 입자 형태별 신규 효과를 만들지 않는다.
AR-011482-A1|DESIGN_ONLY||펠턴 로터의 루트·버킷 분할 제조. 초록에 없는 제트 운동량 수식을 근거인 것처럼 추가하지 않는다.
AR-011503-A1|DEFER||잘린 화학식·용도 중심 초록. 표적 기구를 확정할 수 없다.
AR-011509-A1|DEFER||백신 항원 배합과 낮은 반응성 주장. 제안된 효능을 독립 실증으로 취급하지 않는다.
AR-011532-A1|LINK|pressure-driven-flow|압력차로 저장액을 작은 출구로 밀어 제트 형성. 생체 침투·투여 안전성은 별도 검증.
AR-011560-A1|DESIGN_ONLY||바이알 마개 천공을 위한 지지·밀기 구조.
AR-011579-A4|DESIGN_ONLY||섬유 복합재 지붕과 폼 단열층의 구성. 균열 가교나 특정 단열 기구를 도면 없이 단정하지 않는다.
AR-011589-A1|DESIGN_ONLY||의료 카트의 전원·가스 연속 공급 구성. 신규 에너지 저장 원리는 없다.
AR-011591-A1|DESIGN_ONLY||IT: 다른 기지국 신호까지 고려한 소프트 핸드오버 선택. 분산 합의나 채널 부호로 오분류하지 않는다.
AR-011615-A1|LINK|induction-heating,brazing|유도 가열로 중간 삽입재를 녹여 접합. 모재의 전체 용융이나 고체 확산 접합으로 분류하지 않는다.
AR-011623-A1|LINK|receptor-ligand-modulation|글루탐산 수용체 기능 조절. 작용 부위가 생략돼 직접 작용제·알로스테릭 조절 중 하나로 단정하지 않는다.
AR-011638-A1|LINK|polymerization|이소시아네이트·폴리올 반응의 고분자 형성. 발포제 경로가 생략돼 별도 기체 생성 근거로 쓰지 않는다.
