# 사람이 원리·입출력·조건을 비교해 편집하는 정본. 자동 추출 결과를 여기에 자동 병합하지 않는다.
# 그룹: @번호|요구 기능|기본 분야. 항목: 고정 키|타이틀|작동 원리|필요 조건|추가 참고자료 키
@1|물체를 지지·고정하거나 이동시킨다|PHYSICAL
cyclone-separation|사이클론 분리|회전 유동에서 입자의 관성 차이를 이용해 입자를 벽 쪽으로 분리한다.|적합한 유량·입경·밀도차 필요. 초미세 입자 포집과 압력 손실에 한계.|particulate
fibrous-filtration|섬유 여과|입자가 섬유에 관성 충돌·차단·확산 등으로 포집된다.|대상 입경에 맞는 여재와 면속도 필요. 막힘·누설·압력 손실 관리 필요.|particulate
wet-scrubbing|습식 집진|입자를 액적·액막과 접촉시켜 액상으로 포집한다.|충분한 기액 접촉과 후단 액적 제거 필요. 오염수와 부식 관리 필요.|particulate
ultrafiltration|한외여과(UF)|막의 미세 공극으로 입자·콜로이드·고분자를 걸러낸다.|막 차압과 세정 필요. 용존 염류 제거용 막과 구분하며 오염·막힘을 관리.|
@5|접촉 마찰을 줄인다|PHYSICAL
hydrodynamic-lubrication|유체동압 윤활|상대 운동이 쐐기형 유막에 압력을 만들어 두 면을 분리한다.|충분한 속도·점도와 유막 형상 필요. 기동·정지 시 접촉 마모를 고려.|hydrodynamic
elastohydrodynamic-lubrication|탄성유체윤활(EHL)|고압에서 윤활유 점도 증가와 접촉면 탄성 변형이 결합해 유막을 유지한다.|구름 접촉의 하중·속도·윤활유 특성 확인 필요. 공급 부족과 표면 거칠기를 고려.|ehl
mos2-solid-lubrication|이황화몰리브덴 고체 윤활|층상 결정의 낮은 층간 전단 저항을 이용해 마찰을 줄인다.|적합한 코팅·접촉 조건 필요. 습도·산화·온도가 마찰과 수명에 영향.|
dlc-low-friction|DLC 코팅의 마찰 저감|단단한 비정질 탄소막과 접촉면의 전이층·표면 반응이 마찰·마모를 줄인다.|막의 조성·수소 함량·상대재와 환경을 맞춰야 함. 접착력과 내부 응력 확인.|
leidenfrost-film|라이덴프로스트 효과|고온 표면에서 생성된 증기막이 액체와 고체의 직접 접촉을 줄인다.|증기막이 안정한 온도·압력·표면 조건 필요. 증기막은 열전달도 저해.|
ultrasonic-friction-reduction|초음파 마찰 저감|고주파 진동으로 접촉 하중·상대 운동을 변조해 평균 마찰력을 줄인다.|진동 방향·진폭·하중·표면 상태를 맞춰야 함. 효과와 발열은 조건별 검증.|ultrasonic-friction
@6|형상·치수를 제어하거나 보상한다|PHYSICAL
thermal-expansion-actuation|열팽창|온도 변화에 따른 재료의 길이·부피 변화를 변위로 이용한다.|팽창계수와 온도 범위, 구속 조건 확인 필요. 열구배·응력·응답 지연 고려.|
bimetal|바이메탈|접합된 두 재료의 열팽창 차이로 굽힘 변위를 만든다.|팽창계수 차이와 충분한 접합 강도 필요. 온도 범위·피로·열응답 확인.|bimetal
shape-memory-alloy|형상기억 합금|상변태를 이용해 변형된 합금을 가열 시 설정된 형상으로 회복시킨다.|변태 온도·허용 응력·변형률 확인 필요. 단방향 합금의 반복 복귀에는 바이어스 필요.|
invar|저팽창 합금(Invar)|철–니켈 합금의 자기적 부피 변화가 통상적인 열팽창을 일부 상쇄한다.|조성·열처리·사용 온도에 맞는 팽창 특성 확인 필요. 모든 온도에서 무팽창은 아님.|invar
thermal-expansion-compensation|이종 재료 열팽창 보상|서로 다른 팽창률과 연결 방향·길이를 조합해 목표 방향의 열변형을 상쇄한다.|재료 특성과 형상 비율을 설계해야 함. 온도 구배와 접합부 구속 응력 고려.|
converse-piezoelectricity|역압전 효과|압전 재료에 전기장을 가하면 기계적 변형이 발생한다.|분극·결정 방향과 허용 전계 확인 필요. 히스테리시스·크리프·변위 한계 고려.|
magnetostriction|자기변형|자기장에 따른 자화 상태 변화가 자성 재료의 치수를 바꾼다.|자기변형 재료와 자계 필요. 예압·히스테리시스·자기 포화를 고려.|
auxetic-geometry|음의 푸아송비 구조|셀의 회전·펼침으로 인장 시 횡방향도 팽창하는 유효 거동을 만든다.|셀 형상·하중 방향·변형 범위를 설계해야 함. 좌굴·파손과 방향 의존성 고려.|
bistable-structure|쌍안정 구조|탄성 에너지에 두 안정 상태를 만들어 임계 하중에서 형상을 전환한다.|안정 상태와 에너지 장벽 설계 필요. 스냅스루 충격·피로·제조 오차 고려.|
swelling-actuation|팽윤 구동|재료가 용매를 흡수해 부피가 늘어나는 현상을 변위로 이용한다.|용매 친화성과 가교 구조 필요. 확산 시간·용매 손실·반복 내구성 고려.|swelling
@7|열을 전달하거나 온도를 제어한다|PHYSICAL
fourier-conduction|열전도|온도 구배에 따라 재료 내부로 열이 이동한다.|전도 경로와 저온 경계 필요. 열전도율·접촉 열저항·이방성 확인.|
forced-convection|강제 대류|팬·펌프로 유체를 움직여 가열된 유체를 교체하고 열을 운반한다.|순환 경로와 방열부 필요. 압력 손실·구동 전력·막힘 고려.|
natural-convection|자연 대류|온도에 따른 밀도차가 중력장에서 부력 순환을 만든다.|중력과 순환 공간 필요. 자세·유체 특성·미소중력의 영향 고려.|
thermal-radiation|열복사|표면이 전자기파를 방출·흡수하면서 열을 교환한다.|방사율·시야계수·주변 복사 온도 확인 필요. 진공에서도 작동.|
capillary-heat-pipe|히트파이프|증발·응축으로 열을 옮기고 심지의 모세관력으로 액체를 되돌린다.|작동유체·심지·용기 적합성과 냉각부 필요. 모세관 한계·건조·동결 고려.|
thermosiphon|열사이펀|가열·냉각에 따른 밀도차 또는 중력에 의한 액체 귀환으로 열을 수송한다.|중력 방향에 맞는 순환 경로 필요. 역경사·유동 저항·기동 조건 확인.|
phase-change-storage|상변화 축열|물질의 융해·응고 잠열로 열을 저장하고 방출한다.|목표 온도에 맞는 상변화 물질과 재생 시간 필요. 유한 용량·과냉각 고려.|
heat-capacity-buffer|현열 축열|물질의 열용량을 이용해 온도가 변하는 동안 열을 저장한다.|허용 온도 범위와 충분한 질량 필요. 저장 손실과 방열·충전 속도 고려.|
evaporative-cooling|증발 냉각|액체가 기화할 때 주변의 열을 흡수한다.|액체 공급과 증기 제거 경로 필요. 습도·압력·기류가 냉각 한계를 결정.|
boiling-heat-transfer|비등 열전달|가열면의 기포 생성·성장·이탈로 잠열을 운반한다.|압력·과열도·액체 공급을 맞춰야 함. 임계 열유속 초과 시 막비등·과열 가능.|
condensation-recovery|응축 열전달|증기가 액체로 변하면서 잠열을 냉각면에 방출한다.|이슬점보다 낮은 표면과 응축액 배출 필요. 액막·비응축 기체가 저항을 증가.|
vapor-compression|증기 압축 냉동·히트펌프|압축·응축·팽창·증발 순환에 일을 공급해 저온부의 열을 고온부로 옮긴다.|냉매에 맞는 압력 범위와 두 열교환기 필요. 구동 전력과 방열 용량 확보.|
peltier-cooling|펠티어 효과|서로 다른 열전 재료의 접합부에서 전류 방향에 따라 열을 흡수·방출한다.|전원과 고온측 방열 필요. 줄열·역열전도 때문에 실제 냉각량은 제한됨.|
joule-heating|줄 가열|전류가 저항성 매질을 통과하며 전기 에너지를 열로 바꾼다.|전류 경로·저항·절연·방열 확인 필요. 전류 집중과 국소 과열 관리.|
multilayer-insulation|다층 복사 단열|저방사율 박막을 여러 층 두어 순 복사 열교환을 줄인다.|충분한 진공과 층 간격 필요. 압착·열교·잔류 기체 전도 고려.|
thermal-isolation-gap|진공 단열|기체를 제거해 기체 전도·대류에 의한 열 전달을 줄인다.|진공 유지와 구조 지지 필요. 고체 열교와 열복사는 별도 억제.|
induction-heating|유도 가열|교류 자계가 도체에 와전류 등을 유도해 내부에서 발열시킨다.|도전성 대상과 적절한 주파수·코일 결합 필요. 표피 깊이·발열 균일성 고려.|induction-heating
dielectric-heating|유전 가열|교류 전기장에 대한 분극 응답의 손실로 재료가 발열한다.|사용 주파수에서 충분한 유전 손실 필요. 수분·형상·침투 깊이와 열점 고려.|dielectric-heating
@8|에너지를 변환하거나 저장한다|PHYSICAL
seebeck-generation|제베크 효과|서로 다른 열전 재료의 온도차로 기전력을 만든다.|유지되는 온도차와 폐회로 필요. 열전도 손실·접촉 저항과 변환 효율 고려.|
electromagnetic-induction|전자기 유도|회로를 지나는 자속이 변하면 기전력이 발생한다.|변화하는 자속과 적합한 회로 필요. 발전·변압·회생 제동에 응용.|faraday
photovoltaic-conversion|광기전력 효과|광자가 만든 전하를 내부 전기장 등으로 분리해 전력을 얻는다.|흡수 대역에 맞는 빛과 전하 분리·수집 구조 필요. 재결합·온도 영향 고려.|
electrochemical-cell|전기화학 전지|분리된 산화·환원 반응의 전자를 외부 회로로 흘려 전력을 얻는다.|전극·전해질과 이온·전자 경로 필요. 과전압·부반응·반응물 고갈 고려.|
lithium-intercalation|리튬 이온 삽입·탈리|호스트 구조에 리튬 이온을 가역적으로 넣고 빼며 전하를 저장한다.|적합한 전극·전해질과 전압 범위 필요. 과충전·리튬 석출·구조 열화 관리.|
capacitive-energy-storage|정전용량 에너지 저장|분리된 전극에 전하를 축적해 전기장 에너지로 저장한다.|절연체의 내전압과 누설 특성 확인 필요. 충방전 전류와 잔류 전하 관리.|
fuel-cell|연료전지|연속 공급되는 연료와 산화제의 전기화학 반응으로 전력을 만든다.|전극·전해질·반응물 공급 필요. 촉매 오염·수분·열 관리 필요.|fuel-cell
flywheel-storage|플라이휠 저장|회전체의 운동 에너지로 전력을 저장하고 발전기로 회수한다.|회전체 강도·베어링·속도 제어 필요. 회전 손실과 파손 시 격납 설계 필요.|flywheel
pressure-accumulator|유압·공압 축압|기체 압축이나 탄성 변형에 에너지를 저장했다가 압력으로 되돌린다.|압력 용기·밀봉과 작동 압력 관리 필요. 열손실·가스 투과·피로 고려.|accumulator
@9|혼합물을 분리하거나 농축한다|PHYSICAL
reverse-osmosis|역삼투(RO)|삼투압 차이보다 큰 유효 압력차로 물을 선택막에 통과시킨다.|충분한 압력과 막 전처리 필요. 염 농축·막 오염·농축수 처리를 고려.|
nanofiltration|나노여과(NF)|막의 크기 선택성과 전하 상호작용으로 용질을 선택적으로 분리한다.|막·용질 크기·전하와 pH·압력 조건 확인 필요. 모든 단가 이온을 제거하지는 않음.|
osmosis|삼투|선택막 양쪽의 물 화학퍼텐셜 차이로 물이 이동한다.|물은 통과하고 해당 용질은 제한하는 막 필요. 압력차와 농도 분극 고려.|osmosis
electrophoresis|전기영동|전기장이 순전하를 가진 입자·분자를 이동시킨다.|전하·pH·이온강도에 맞는 매질과 전극 필요. 줄열·전기삼투·전극 반응 고려.|
dielectrophoresis|유전영동|불균일 전기장이 입자의 유도 분극과 상호작용해 이동력을 만든다.|입자·매질의 복소 유전율 대비와 주파수 선택 필요. 전극 열화·가열 고려.|
magnetophoresis|자기영동·자력 분리|자기장 구배가 자화율 차이를 가진 물질을 선택적으로 이동시킨다.|충분한 자화율 대비와 자계 구배 필요. 약한 자성 대상은 표지 입자 등이 필요.|
electrodialysis|전기투석|전기장으로 이온을 양·음이온 선택막에 이동시켜 염류를 분리한다.|이온교환막·전극·전원 필요. 한계 전류·막 오염·물 분해 고려.|electrodialysis
centrifugal-separation|원심 분리|회전장에서 밀도·크기 차이에 따른 이동 속도 차이로 성분을 분리한다.|대상과 매질의 밀도차, 회전 속도·시간 필요. 재혼합과 전단 손상 고려.|centrifuge
gravity-settling|중력 침강|중력에 의한 침강 속도 차이로 입자와 유체를 분리한다.|밀도차와 충분한 체류 시간 필요. 미세 입자·고농도·난류에서 효율 저하.|settling
distillation|증류|성분별 휘발도 차이를 이용해 기화와 응축으로 조성을 나눈다.|적합한 기액 평형과 열원·냉각원 필요. 공비·열분해·에너지 소비 고려.|distillation
adsorption|흡착|성분이 고체 표면·기공과 선택적으로 상호작용해 농축된다.|대상에 맞는 흡착제와 접촉 시간 필요. 포화 후 재생·교체 및 경쟁 흡착 고려.|water-treatment
ion-exchange|이온교환|수지 등의 고정 전하 자리에 결합한 이온을 용액 이온과 교환한다.|대상 이온에 맞는 교환체 필요. 경쟁 이온·재생 약품·용량 고갈 고려.|water-treatment
solvent-extraction|용매 추출|서로 섞이지 않는 액상 사이의 분배 차이로 성분을 이동·분리한다.|선택성이 있는 용매와 상분리 필요. pH·유화·용매 손실·잔류물 고려.|extraction
gas-absorption|기체 흡수·탈기|기체의 분압과 액중 평형 농도 차이로 기액 사이에 물질을 이동시킨다.|접촉 면적과 분압·온도 조건 필요. 반응 흡수는 용매 반응성과 재생 확인.|water-treatment
flotation|부유 선별·부상 분리|입자나 액적에 붙은 기포의 부력으로 대상을 수면에 모은다.|기포 크기와 대상의 부착·젖음 조건 필요. 입경·시약·재비산 고려.|flotation
chromatography|크로마토그래피|이동상과 고정상에 대한 성분별 상호작용 차이로 이동 속도를 나눈다.|분리 대상에 맞는 고정상·용리 조건 필요. 과부하·확산·압력 손실 고려.|chromatography
crystallization|결정화 분리|과포화 용액·용융물에서 결정이 생성·성장하며 성분을 분리한다.|과포화도·핵생성·성장 속도 제어 필요. 불순물 포획·다형·응집 고려.|crystallization
freeze-drying|동결 건조|동결된 용매를 낮은 압력에서 승화시켜 수분을 제거한다.|동결 상태를 유지할 압력·열 공급과 증기 포집 필요. 붕괴 온도·잔류 수분 관리.|lyophilization
isoelectric-focusing|등전점 집속|pH 구배에서 분자가 전하를 잃는 등전점까지 전기영동하여 모인다.|안정한 pH 구배와 전기장 필요. 단백질 용해성·발열·침전 고려.|isoelectric
@10|표면·계면의 성질을 바꾼다|PHYSICAL
wetting-control|젖음성 제어|고체·액체·기체의 계면 에너지 균형을 바꿔 퍼짐과 부착을 조절한다.|표면 화학·거칠기·청정도 확인 필요. 동적 접촉각과 이력 고려.|
lotus-superhydrophobicity|연잎형 초발수|낮은 표면 에너지와 미세 구조에 갇힌 공기가 물의 부착을 줄인다.|표면 구조와 공기층 유지 필요. 압력·마모·오염으로 젖음 상태가 전환될 수 있음.|
lubricant-infused-surface|윤활액 함침 표면(SLIPS)|기공에 유지된 윤활액이 액적의 접촉선 고정을 줄인다.|기판을 잘 적시고 처리 액체와 잘 섞이지 않는 윤활액 필요. 소모·유실 고려.|
gecko-dry-adhesion|도마뱀 발형 건식 접착|미세 섬유가 실제 접촉 면적을 늘려 분자 간 힘의 합으로 붙는다.|순응 가능한 섬유 구조와 적절한 예압·전단 방향 필요. 거칠기·오염 고려.|
electrowetting|전기젖음|전압으로 계면의 유효 에너지 균형을 바꿔 액적의 접촉각을 조절한다.|전도성 액체와 적합한 절연막·전극 필요. 접촉각 포화·전하 포획·파괴 고려.|
surfactant-action|계면활성|양친매성 분자가 계면에 모여 계면장력과 젖음·분산 안정성을 바꾼다.|농도·온도·염도에 맞는 계면활성제 필요. 거품·흡착 손실·상전이 고려.|surfactant
plasma-surface-activation|플라스마 표면 활성화|플라스마의 입자·라디칼이 표면을 세정하거나 반응성 작용기를 만든다.|기체·전력·노출 시간을 재료에 맞춰야 함. 표면 손상과 활성의 시간 경과 고려.|plasma-surface
anodization|양극 산화|금속을 양극으로 전기화학 반응시켜 표면 산화막을 성장시킨다.|막 형성이 가능한 금속·전해질·전압 조건 필요. 기공·막두께·봉공 고려.|anodization
electrodeposition|전해 도금|용액의 금속 이온을 전극에서 환원해 표면에 금속층을 만든다.|전해질·전류밀도·전처리 필요. 두께 불균일·수소 발생·접착력 고려.|electroplating
@11|유체를 이동·혼합하거나 분배한다|PHYSICAL
pressure-driven-flow|압력차 유동|압력차가 점성·관성 저항을 이기며 유체를 이동시킨다.|압력원과 연결된 유로 필요. 점도·관경·유동 상태·압축성 확인.|
venturi-entrainment|벤투리 흡입·제트 혼합|좁은 유로에서 유속이 증가하며 정압이 낮아져 다른 유체를 끌어들인다.|충분한 구동 압력과 적합한 목·혼합부 필요. 압력 손실·역류·캐비테이션 고려.|
electroosmotic-flow|전기삼투 유동|전기장이 벽면 전기이중층의 이온을 이동시켜 주변 액체를 끈다.|대전된 유로 벽과 전해질 필요. pH·염도·줄열·전극 반응 고려.|
coanda-wall-jet|코안다 효과|분사 유동이 주변 유체를 끌어들이며 인접 곡면을 따라 흐른다.|적합한 곡률·분사 간격·유량 필요. 박리 조건 확인; 입자 분리가 자동 보장되지는 않음.|
marangoni-convection|마랑고니 유동|온도·조성에 따른 표면장력 구배가 계면을 따라 유동을 만든다.|유체 계면과 유지되는 구배 필요. 계면 오염·활성제·유동 불안정 고려.|
acoustic-streaming|음향 스트리밍|음파의 감쇠와 경계층에서 전달된 운동량이 시간 평균 유동을 만든다.|음향 에너지와 적합한 유체·경계 필요. 발열·캐비테이션과 방사력의 영향을 구분.|streaming
capillary-wicking|모세관 침투|젖는 미세 유로의 계면 곡률이 압력차를 만들어 액체를 끌어들인다.|젖음성·연결 공극·기체 배출 필요. 점성·중력·증발이 이동 거리를 제한.|
peristaltic-pumping|연동 펌핑|유로를 순차적으로 눌러 폐색 구간을 이동시키며 유체를 보낸다.|유연한 관과 반복 압착 구조 필요. 맥동·관 피로·흡입 한계 고려.|peristaltic
cavitation|캐비테이션|국소 압력 저하 등으로 생긴 기포가 붕괴하며 충격·미세 제트를 만든다.|기포 생성·붕괴 조건과 에너지 공급 필요. 세정·분산에 쓰지만 침식·소음도 유발.|cavitation
chaotic-advection|카오스 이류 혼합|유동의 반복적인 늘림·접기로 성분 경계를 늘려 확산 혼합을 촉진한다.|적합한 유로·시간 변화 유동 필요. 혼합 길이·압력 손실·확산계수 고려.|chaotic-mixing
@12|상태·성분을 측정하거나 검출한다|PHYSICAL
hall-effect|홀 효과|전류가 흐르는 물질에 횡방향 자계를 가하면 가로 전압이 발생한다.|전류·자계 방향과 감도 보정 필요. 온도 드리프트·오프셋 고려.|
capacitive-sensing|정전용량 센싱|전극 간 거리·면적·유전율에 따른 정전용량 변화를 측정한다.|안정된 전극 구조와 기생 용량 보정 필요. 습도·오염·차폐 고려.|
direct-piezoelectricity|직접 압전 효과|압전 재료의 기계적 변형으로 전하·전압이 발생한다.|적합한 결정 방향과 전하 측정 회로 필요. 누설로 장시간 정적 측정에는 제약.|
piezoresistive-sensing|압저항 효과|변형으로 재료의 전기저항이 달라지는 현상을 측정한다.|변형 전달과 온도 보상 필요. 재료·결정 방향·변형 범위 확인.|
eddy-current-sensing|와전류 센싱|교류 자계가 대상에 만든 와전류에 따른 코일 응답 변화를 읽는다.|도전성 대상과 적합한 주파수 필요. 간극·전도도·투자율의 영향을 구분.|
photodiode|광다이오드|흡수된 광자가 만든 전하를 수집해 빛을 전류로 바꾼다.|감응 파장과 바이어스·읽기 회로 필요. 암전류·포화·응답 속도 고려.|
atomic-magnetometry|원자 자력계|자기장에 따른 원자 스핀의 세차·에너지 변화를 광학적으로 읽는다.|적합한 원자 매질·광원과 자기 환경 제어 필요. 충돌·이완·자기 잡음 고려.|
nv-center-sensing|NV 중심 센싱|다이아몬드 결함 스핀의 공명과 형광 변화로 주변 상태를 읽는다.|NV 중심·광여기·마이크로파 및 보정 필요. 온도·변형·자계의 교차 감응 고려.|
villari-effect|역자기변형(빌라리 효과)|응력에 따라 자성 재료의 자화·투자율이 변한다.|적합한 자성 재료·자기 바이어스 필요. 히스테리시스·온도·잔류 응력 고려.|
resistance-thermometry|저항 온도 측정|온도에 따른 금속·반도체의 저항 변화를 읽는다.|보정된 저항–온도 관계 필요. 자기 발열·리드선 저항·열접촉 고려.|thermometry
doppler-sensing|도플러 측정|파원·산란체와 관측자의 상대 운동에 따른 주파수 변화를 읽는다.|전파 속도·측정 각도와 기준 주파수 확인 필요. 다중 산란·모호성 고려.|doppler
time-of-flight|비행시간 측정(ToF)|빛·소리 등의 왕복 전파 시간을 거리로 환산한다.|전파 속도·지연 보정과 반사 신호 필요. 다중 경로·매질 변화·분해능 고려.|tof
interferometric-sensing|간섭 계측|측정 경로의 길이·굴절률 변화를 두 파의 상대 위상 변화로 읽는다.|충분한 결맞음과 안정된 기준 경로 필요. 진동·위상 모호성·환경 보정 고려.|interference
raman-spectroscopy|라만 분광|분자의 진동 등과 에너지를 교환한 비탄성 산란광의 주파수 이동을 분석한다.|적합한 여기 광원과 분광 분해능 필요. 약한 신호·형광 배경·광손상 고려.|raman
fluorescence-sensing|형광 검출|광여기로 발생한 형광의 세기·파장·수명 변화를 읽는다.|형광 물질과 여기·검출 대역 분리 필요. 광표백·소광·배경 신호 고려.|fluorescence
absorption-spectroscopy|흡수 분광|물질이 특정 파장의 빛을 흡수하는 정도로 성분·농도를 추정한다.|흡수 대역과 광경로·기준 보정 필요. 산란·농도·화학 상태에 따른 비선형성 고려.|absorption
nernst-potentiometry|이온 선택 전위 측정|이온 활성도에 따른 전극·막의 평형 전위 변화를 읽는다.|선택 전극·기준 전극·온도 보정 필요. 농도와 활성도를 구분하고 간섭 이온 고려.|nernst
bragg-sensing|브래그 격자 센싱|격자 주기·유효 굴절률 변화에 따른 반사 파장 이동을 읽는다.|보정된 격자와 분광 판독 필요. 변형·온도의 교차 감응 및 결합 상태 고려.|photonic-thermometry
@13|빛·전자기파·소리를 제어한다|PHYSICAL
refraction|굴절|파가 다른 매질에 들어갈 때 전파 속도 차이로 진행 방향이 바뀐다.|파장별 굴절률과 경계 형상 확인 필요. 분산·흡수·수차 고려.|refraction
total-internal-reflection|전반사|고굴절률 매질에서 저굴절률 매질로 향하는 빛이 임계각 이상에서 반사된다.|굴절률 대비와 입사각 조건 필요. 표면 손실·굴곡·소멸장 결합 고려.|tir
wave-interference|파동 간섭|파의 진폭과 위상이 중첩되어 특정 위치·방향에서 보강되거나 상쇄된다.|위상 관계와 적절한 결맞음 필요. 상쇄한 에너지가 소멸했다고 해석하지 않음.|interference
diffraction|회절|파가 개구·경계·주기 구조를 지나며 공간적으로 퍼지고 방향별 세기가 달라진다.|파장과 비슷한 구조 크기·위상 조건 확인 필요. 대역폭과 효율 고려.|diffraction
polarization-control|편광 제어|전기장의 진동 방향에 따른 선택적 투과·위상 지연으로 편광을 바꾼다.|입사 편광·파장·소자 축 정렬 필요. 소광비·흡수 손실 고려.|polarization
stimulated-emission|유도 방출|입사 광자가 여기된 매질에서 위상·모드가 맞는 추가 광자 방출을 유도한다.|광증폭에는 펌핑과 이득이 손실을 넘는 조건 필요. 레이저는 공진·피드백도 고려.|laser
